date,GAP
01/01/90,-169666.218
01/01/91,-136059.9703
01/01/92,-146877.8418
01/01/93,-151371.0768
01/01/94,-76810.78979
01/01/95,-138388.2839
01/01/96,-130386.784
01/01/97,-135038.7304
01/01/98,-131345.15
01/01/99,-242211.959
01/01/00,-273898.984
01/01/01,-194495.0199
01/01/02,-243425.9118
01/01/03,-263990.1991
01/01/04,-255512.2774
01/01/05,-261658.7173
01/01/06,-216675.1407
01/01/07,-172942.6735
01/01/08,-87847.10486
01/01/09,-43210.71393
01/01/10,-4591.862869
01/01/11,46882.56167
01/01/12,80667.13145
01/01/13,100423.8673
01/01/14,175703.9463
01/01/15,240168.2777
01/01/16,282297.8489
01/01/17,286567.8302
01/01/18,233662.1344
01/01/19,118475.2404
01/01/20,66976.98366
